treeID,Disease,Country,Sublocation,Year,Source,Source Link,Notes
chn.2003.sars.2.00,SARS,China,Beijing,2003,"Shen, Z., Ning, F., Zhou, W., He, X., Lin, C., Chin, D. P., ... & Schuchat, A. (2004). Superspreading sars events, Beijing, 2003. Emerging infectious diseases, 10(2), 256. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3322930/,
chn.2009.flu.1.00,"H1N1, H3N2",China,Beijing,2009,"Zhang, X. S., & De Angelis, D. (2015). Construction of the influenza A virus transmission tree in a college-based population: co-transmission and interactions between influenza A viruses. BMC infectious diseases, 16(1), 38. Liu, W., Li, Z. D., Tang, F., Wei, M. T., Tong, Y. G., Zhang, L., ... & Zhan, L. (2010). Mixed infections of pandemic H1N1 and seasonal H3N2 viruses in 1 outbreak. Clinical Infectious Diseases, 50(10), 1359-1365. ","https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-016-1373-x
https://academic.oup.com/cid/article/50/10/1359/376385",Parts of tree reconstructed probabilistically
chn.2011.hepa.1.00,Hepatitis A,China,,2011,"Zhang, X. S., & Iacono, G. L. (2018). Estimating human-to-human transmissibility of hepatitis A virus in an outbreak at an elementary school in China, 2011. PloS one, 13(9), e0204201. ",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0204201,Parts of tree reconstructed probabilistically. Dashed arrow transmissions included. Days since symptom onset eyeballed
chn.2013.flu.1.00,H7N9,China,Wuxi,2013,"Qi, X., Qian, Y. H., Bao, C. J., Guo, X. L., Cui, L. B., Tang, F. Y., ... & Xu, K. (2013). Probable person to person transmission of novel avian influenza A (H7N9) virus in Eastern China, 2013: epidemiological investigation. Bmj, 347, f4752. ",https://www.bmj.com/content/347/bmj.f4752,
chn.2015.flu.1.00,H7N9,China,Quzhou,2015,"Fang, C. F., Ma, M. J., Zhan, B. D., Lai, S. M., Hu, Y., Yang, X. X., ... & Wang, S. Q. (2015). Nosocomial transmission of avian influenza A (H7N9) virus in China: epidemiological investigation. Bmj, 351, h5765. ",https://europepmc.org/article/med/26586515,
cog.2005.ebv.1.00,Ebola,Congo,Etoumbi,2005,"Nkoghe, D., Kone, M. L., Yada, A., & Leroy, E. (2011). A limited outbreak of Ebola haemorrhagic fever in Etoumbi, Republic of Congo, 2005. Transactions of the Royal Society of Tropical Medicine and Hygiene, 105(8), 466-472. ",https://academic.oup.com/trstmh/article/105/8/466/1897114,Treated as separate tree from cog.2005.ebv.1.01
cog.2005.ebv.1.01,Ebola,Congo,Etoumbi,2005,"Nkoghe, D., Kone, M. L., Yada, A., & Leroy, E. (2011). A limited outbreak of Ebola haemorrhagic fever in Etoumbi, Republic of Congo, 2005. Transactions of the Royal Society of Tropical Medicine and Hygiene, 105(8), 466-472. ",https://academic.oup.com/trstmh/article/105/8/466/1897114,Treated as separate tree from cog.2005.ebv.1.00
gbr.2009.flu.1.00,H1N1,United Kingdom,London,2009,"Hens, N., Calatayud, L., Kurkela, S., Tamme, T., & Wallinga, J. (2012). Robust reconstruction and analysis of outbreak data: influenza A (H1N1) v transmission in a school-based population. American journal of epidemiology, 176(3), 196-203. ",https://academic.oup.com/aje/article/176/3/196/100030,Parts of tree probabilistically reconstructed. Time of symptom onset eyeballed
gbr.2009.pts.1.00,Pertussis,United Kingdom,,2009,"Baugh, V., & McCarthy, N. (2010). Outbreak of Bordetella pertussis among oncology nurse specialists. Occupational medicine, 60(5), 401-405. ",https://academic.oup.com/occmed/article/60/5/401/1384251,
gin.2014.ebv.1.00,Ebola,Guinea,Conakry,2014,"Faye, O., Boëlle, P. Y., Heleze, E., Faye, O., Loucoubar, C., Magassouba, N. F., ... & Sall, A. A. (2015). Chains of transmission and control of Ebola virus disease in Conakry, Guinea, in 2014: an observational study. The Lancet Infectious Diseases, 15(3), 320-326. ",https://pubmed.ncbi.nlm.nih.gov/25619149/,Assumed dates given day/month
gin.2014.ebv.1.01,Ebola,Guinea,Conakry,2014,"Faye, O., Boëlle, P. Y., Heleze, E., Faye, O., Loucoubar, C., Magassouba, N. F., ... & Sall, A. A. (2015). Chains of transmission and control of Ebola virus disease in Conakry, Guinea, in 2014: an observational study. The Lancet Infectious Diseases, 15(3), 320-326. ",https://pubmed.ncbi.nlm.nih.gov/25619149/,
gin.2014.ebv.1.02,Ebola,Guinea,Conakry,2014,"Faye, O., Boëlle, P. Y., Heleze, E., Faye, O., Loucoubar, C., Magassouba, N. F., ... & Sall, A. A. (2015). Chains of transmission and control of Ebola virus disease in Conakry, Guinea, in 2014: an observational study. The Lancet Infectious Diseases, 15(3), 320-326. ",https://pubmed.ncbi.nlm.nih.gov/25619149/,
gin.2014.ebv.1.03,Ebola,Guinea,Conakry,2014,"Faye, O., Boëlle, P. Y., Heleze, E., Faye, O., Loucoubar, C., Magassouba, N. F., ... & Sall, A. A. (2015). Chains of transmission and control of Ebola virus disease in Conakry, Guinea, in 2014: an observational study. The Lancet Infectious Diseases, 15(3), 320-326. ",https://pubmed.ncbi.nlm.nih.gov/25619149/,
gin.2014.ebv.1.04,Ebola,Guinea,Conakry,2014,"Faye, O., Boëlle, P. Y., Heleze, E., Faye, O., Loucoubar, C., Magassouba, N. F., ... & Sall, A. A. (2015). Chains of transmission and control of Ebola virus disease in Conakry, Guinea, in 2014: an observational study. The Lancet Infectious Diseases, 15(3), 320-326. ",https://pubmed.ncbi.nlm.nih.gov/25619149/,Assumed dates given day/month
gin.2014.ebv.1.05,Ebola,Guinea,Conakry,2014,"Faye, O., Boëlle, P. Y., Heleze, E., Faye, O., Loucoubar, C., Magassouba, N. F., ... & Sall, A. A. (2015). Chains of transmission and control of Ebola virus disease in Conakry, Guinea, in 2014: an observational study. The Lancet Infectious Diseases, 15(3), 320-326. ",https://pubmed.ncbi.nlm.nih.gov/25619149/,Assumed dates given day/month
gin.2014.ebv.1.06,Ebola,Guinea,Conakry,2014,"Faye, O., Boëlle, P. Y., Heleze, E., Faye, O., Loucoubar, C., Magassouba, N. F., ... & Sall, A. A. (2015). Chains of transmission and control of Ebola virus disease in Conakry, Guinea, in 2014: an observational study. The Lancet Infectious Diseases, 15(3), 320-326. ",https://pubmed.ncbi.nlm.nih.gov/25619149/,Assumed dates given day/month. Assumed that individuals in Télimélé and Boffa were not health care workers
gin.2014.ebv.2.00,Ebola,Guinea,N'Zérékoré,2014,"Valencia, C., Bah, H., Fatoumata, B., Rodier, G., Diallo, B., Koné, M., ... & Jansa, J. (2017). Network visualization for outbreak response: Mapping the Ebola Virus Disease (EVD) chains of transmission in N'Zérékoré, Guinea. Journal of Infection, 74(3), 294-301. ",https://www.sciencedirect.com/science/article/abs/pii/S0163445316302833,
gin.2014.ebv.2.01,Ebola,Guinea,N'Zérékoré,2014,"Valencia, C., Bah, H., Fatoumata, B., Rodier, G., Diallo, B., Koné, M., ... & Jansa, J. (2017). Network visualization for outbreak response: Mapping the Ebola Virus Disease (EVD) chains of transmission in N'Zérékoré, Guinea. Journal of Infection, 74(3), 294-301. ",https://www.sciencedirect.com/science/article/abs/pii/S0163445316302833,
gin.2014.ebv.2.03,Ebola,Guinea,N'Zérékoré,2014,"Valencia, C., Bah, H., Fatoumata, B., Rodier, G., Diallo, B., Koné, M., ... & Jansa, J. (2017). Network visualization for outbreak response: Mapping the Ebola Virus Disease (EVD) chains of transmission in N'Zérékoré, Guinea. Journal of Infection, 74(3), 294-301. ",https://www.sciencedirect.com/science/article/abs/pii/S0163445316302833,
gin.2014.ebv.2.04,Ebola,Guinea,N'Zérékoré,2014,"Valencia, C., Bah, H., Fatoumata, B., Rodier, G., Diallo, B., Koné, M., ... & Jansa, J. (2017). Network visualization for outbreak response: Mapping the Ebola Virus Disease (EVD) chains of transmission in N'Zérékoré, Guinea. Journal of Infection, 74(3), 294-301. ",https://www.sciencedirect.com/science/article/abs/pii/S0163445316302833,
gin.2014.ebv.2.05,Ebola,Guinea,N'Zérékoré,2014,"Valencia, C., Bah, H., Fatoumata, B., Rodier, G., Diallo, B., Koné, M., ... & Jansa, J. (2017). Network visualization for outbreak response: Mapping the Ebola Virus Disease (EVD) chains of transmission in N'Zérékoré, Guinea. Journal of Infection, 74(3), 294-301. ",https://www.sciencedirect.com/science/article/abs/pii/S0163445316302833,
gin.2014.ebv.2.06,Ebola,Guinea,N'Zérékoré,2014,"Valencia, C., Bah, H., Fatoumata, B., Rodier, G., Diallo, B., Koné, M., ... & Jansa, J. (2017). Network visualization for outbreak response: Mapping the Ebola Virus Disease (EVD) chains of transmission in N'Zérékoré, Guinea. Journal of Infection, 74(3), 294-301. ",https://www.sciencedirect.com/science/article/abs/pii/S0163445316302833,
ita.1982.hepa.1.01,Hepatitis A,Italy,San Giovanni in Fiore,1982,"Greco, D., Giacomi, G. D., Piersante, G. P., Bibby, L., Nicastro, M., & Cavalcanti, P. (1986). A person to person hepatitis A outbreak. International journal of epidemiology, 15(1), 108-111. ",https://academic.oup.com/ije/article-abstract/15/1/108/729896,"Excluded individuals without known infectors and no secondary infections, and trees composed only of possible contact in Greco et al. (1986). Possible contact transmission included if within tree with other cases with “very probable contact”."
ita.1982.hepa.1.02,Hepatitis A,Italy,San Giovanni in Fiore,1982,"Greco, D., Giacomi, G. D., Piersante, G. P., Bibby, L., Nicastro, M., & Cavalcanti, P. (1986). A person to person hepatitis A outbreak. International journal of epidemiology, 15(1), 108-111. ",https://academic.oup.com/ije/article-abstract/15/1/108/729896,"Excluded individuals without known infectors and no secondary infections, and trees composed only of possible contact in Greco et al. (1986). Possible contact transmission included if within tree with other cases with “very probable contact”."
ita.1982.hepa.1.03,Hepatitis A,Italy,San Giovanni in Fiore,1982,"Greco, D., Giacomi, G. D., Piersante, G. P., Bibby, L., Nicastro, M., & Cavalcanti, P. (1986). A person to person hepatitis A outbreak. International journal of epidemiology, 15(1), 108-111. ",https://academic.oup.com/ije/article-abstract/15/1/108/729896,"Excluded individuals without known infectors and no secondary infections, and trees composed only of possible contact in Greco et al. (1986). Possible contact transmission included if within tree with other cases with “very probable contact”."
ita.1982.hepa.1.04,Hepatitis A,Italy,San Giovanni in Fiore,1982,"Greco, D., Giacomi, G. D., Piersante, G. P., Bibby, L., Nicastro, M., & Cavalcanti, P. (1986). A person to person hepatitis A outbreak. International journal of epidemiology, 15(1), 108-111. ",https://academic.oup.com/ije/article-abstract/15/1/108/729896,"Excluded individuals without known infectors and no secondary infections, and trees composed only of possible contact in Greco et al. (1986). Possible contact transmission included if within tree with other cases with “very probable contact”."
ita.1982.hepa.1.06,Hepatitis A,Italy,San Giovanni in Fiore,1982,"Greco, D., Giacomi, G. D., Piersante, G. P., Bibby, L., Nicastro, M., & Cavalcanti, P. (1986). A person to person hepatitis A outbreak. International journal of epidemiology, 15(1), 108-111. ",https://academic.oup.com/ije/article-abstract/15/1/108/729896,"Excluded individuals without known infectors and no secondary infections, and trees composed only of possible contact in Greco et al. (1986). Possible contact transmission included if within tree with other cases with “very probable contact”."
ita.1982.hepa.1.07,Hepatitis A,Italy,San Giovanni in Fiore,1982,"Greco, D., Giacomi, G. D., Piersante, G. P., Bibby, L., Nicastro, M., & Cavalcanti, P. (1986). A person to person hepatitis A outbreak. International journal of epidemiology, 15(1), 108-111. ",https://academic.oup.com/ije/article-abstract/15/1/108/729896,"Excluded individuals without known infectors and no secondary infections, and trees composed only of possible contact in Greco et al. (1986). Possible contact transmission included if within tree with other cases with “very probable contact”."
ita.1982.hepa.1.08,Hepatitis A,Italy,San Giovanni in Fiore,1982,"Greco, D., Giacomi, G. D., Piersante, G. P., Bibby, L., Nicastro, M., & Cavalcanti, P. (1986). A person to person hepatitis A outbreak. International journal of epidemiology, 15(1), 108-111. ",https://academic.oup.com/ije/article-abstract/15/1/108/729896,"Excluded individuals without known infectors and no secondary infections, and trees composed only of possible contact in Greco et al. (1986). Possible contact transmission included if within tree with other cases with “very probable contact”."
ita.1982.hepa.1.09,Hepatitis A,Italy,San Giovanni in Fiore,1982,"Greco, D., Giacomi, G. D., Piersante, G. P., Bibby, L., Nicastro, M., & Cavalcanti, P. (1986). A person to person hepatitis A outbreak. International journal of epidemiology, 15(1), 108-111. ",https://academic.oup.com/ije/article-abstract/15/1/108/729896,"Excluded individuals without known infectors and no secondary infections, and trees composed only of possible contact in Greco et al. (1986). Possible contact transmission included if within tree with other cases with “very probable contact”."
jpn.2016.meas.1.00,Measles,Japan,Osaka,2016,"Nishiura, H., Mizumoto, K., & Asai, Y. (2017). Assessing the transmission dynamics of measles in Japan, 2016. Epidemics, 20, 67-72. ",https://pubmed.ncbi.nlm.nih.gov/28359662/,Question mark exposures included in tree
jpn.2018.meas.1.00,Measles,Japan & Taiwan,,2018,"Shimizu, K., Kinoshita, R., Yoshii, K., Akhmetzhanov, A. R., Jung, S., Lee, H., & Nishiura, H. (2018). An investigation of a measles outbreak in Japan and China, Taiwan, China, March–May 2018. Western Pacific surveillance and response journal: WPSAR, 9(3), 25. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6194226/,"Interpreted orange, green, and blue bar in center of diagram as single individual, though onset of illness is unclear. Illness onset of secondary cases entered as left side/earliest date of designated bar"
kor.2015.mers.1.00,MERS,South Korea,,2015,"Zhang, X. S., Pebody, R., Charlett, A., de Angelis, D., Birrell, P., Kang, H., ... & Choi, Y. H. (2017). Estimating and modelling the transmissibility of Middle East Respiratory Syndrome CoronaVirus during the 2015 outbreak in the Republic of Korea. Influenza and other respiratory viruses, 11(5), 434-444. ",https://pubmed.ncbi.nlm.nih.gov/28703921/,Parts of tree probabilistically reconstructed and cases are included in database tree
kwt.1967.spx.1.00,Smallpox,Kuwait,,1967,"Arita, I., Shafa, E., & Kader, A. (1970). Role of hospital in smallpox outbreak in Kuwait. American Journal of Public Health and the Nations Health, 60(10), 1960-1966. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1348984/,"Individuals without known infectors and no secondary infections excluded from tree, assumed individuals 25-33 were all infected by individual 12 rather than the group of 6-12"
lbr.2015.ebv.1.00,Ebola,Liberia,,2015,"Dokubo, E. K., Wendland, A., Mate, S. E., Ladner, J. T., Hamblion, E. L., Raftery, P., ... & Hensley, L. (2018). Persistence of Ebola virus after the end of widespread transmission in Liberia: an outbreak report. The Lancet Infectious Diseases, 18(9), 1015-1024. ",https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(18)30417-1/fulltext,"Individuals considered “not cases” excluded from tree, all other individuals regardless of method of infection confirmation included"
mdg.1957.plg.1.00,Pneumonic plague,Madagascar,,1957,"Nishiura, H., Schwehm, M., Kakehashi, M., & Eichner, M. (2006). Transmission potential of primary pneumonic plague: time inhomogeneous evaluation based on historical documents of the transmission network. Journal of Epidemiology & Community Health, 60(7), 640-645. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2566243/,Question mark individual included
nga.2014.ebv.1.00,Ebola,Nigeria,Lagos & Port Harcourt,2014,"Fasina, F. O., Shittu, A., Lazarus, D., Tomori, O., Simonsen, L., Viboud, C., & Chowell, G. (2014). Transmission dynamics and control of Ebola virus disease outbreak in Nigeria, July to September 2014. Eurosurveillance, 19(40), 20920. ",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES2014.19.40.20920,"Assumed that individuals 12 and 13 were infected by individual 5, not individual 4"
nld.1951.spx.1.00,Smallpox,Netherlands,Tilburg,1951,"Soetens, L., Klinkenberg, D., Swaan, C., Hahné, S., & Wallinga, J. (2018). Real-time Estimation of Epidemiologic Parameters from Contact Tracing Data During an Emerging Infectious Disease Outbreak. Epidemiology, 29(2), 230-236.",https://europepmc.org/article/med/29087987,"individuals 34 and 50 excluded because no known infectors and no secondary infections, parts of tree may be probabilistically reconstructed"
nld.2005.nrv.1.00,Norovirus,Netherlands,,2005-07,"Teunis, P., Heijne, J. C., Sukhrie, F., van Eijkeren, J., Koopmans, M., & Kretzschmar, M. (2013). Infectious disease transmission as a forensic problem: who infected whom?. Journal of the Royal Society Interface, 10(81), 20120955. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3627102/,"No arrows for transmission but assumed lines were directional even if dates nearly the same; parts of tree probabilistically reconstructed, genotype also used"
nld.2005.nrv.1.01,Norovirus,Netherlands,,2005-07,"Teunis, P., Heijne, J. C., Sukhrie, F., van Eijkeren, J., Koopmans, M., & Kretzschmar, M. (2013). Infectious disease transmission as a forensic problem: who infected whom?. Journal of the Royal Society Interface, 10(81), 20120955. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3627102/,"No arrows for transmission but assumed lines were directional even if dates nearly the same; parts of tree probabilistically reconstructed, genotype also used"
nld.2005.nrv.1.02,Norovirus,Netherlands,,2005-07,"Teunis, P., Heijne, J. C., Sukhrie, F., van Eijkeren, J., Koopmans, M., & Kretzschmar, M. (2013). Infectious disease transmission as a forensic problem: who infected whom?. Journal of the Royal Society Interface, 10(81), 20120955. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3627102/,"No arrows for transmission but assumed lines were directional even if dates nearly the same; parts of tree probabilistically reconstructed, genotype also used"
nld.2005.nrv.1.03,Norovirus,Netherlands,,2005-07,"Teunis, P., Heijne, J. C., Sukhrie, F., van Eijkeren, J., Koopmans, M., & Kretzschmar, M. (2013). Infectious disease transmission as a forensic problem: who infected whom?. Journal of the Royal Society Interface, 10(81), 20120955. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3627102/,"No arrows for transmission but assumed lines were directional even if dates nearly the same; parts of tree probabilistically reconstructed, genotype also used"
nld.2005.nrv.1.04,Norovirus,Netherlands,,2005-07,"Teunis, P., Heijne, J. C., Sukhrie, F., van Eijkeren, J., Koopmans, M., & Kretzschmar, M. (2013). Infectious disease transmission as a forensic problem: who infected whom?. Journal of the Royal Society Interface, 10(81), 20120955. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3627102/,"No arrows for transmission but assumed lines were directional even if dates nearly the same; parts of tree probabilistically reconstructed, genotype also used"
nld.2008.nrv.1.00,Norovirus,Netherlands,,2008,"Heijne, J. C., Rondy, M., Verhoef, L., Wallinga, J., Kretzschmar, M., Low, N., ... & Teunis, P. F. (2012). Quantifying transmission of norovirus during an outbreak. Epidemiology, 277-284. ",https://pubmed.ncbi.nlm.nih.gov/22317811/,Parts of tree probabilistically reconstructed; individual with no known infectors and no secondary infections excluded; did not incorporate higher probability of infection associated with thicker lines
nld.2008.nrv.1.01,Norovirus,Netherlands,,2008,"Heijne, J. C., Rondy, M., Verhoef, L., Wallinga, J., Kretzschmar, M., Low, N., ... & Teunis, P. F. (2012). Quantifying transmission of norovirus during an outbreak. Epidemiology, 277-284. ",https://pubmed.ncbi.nlm.nih.gov/22317811/,Parts of tree probabilistically reconstructed; individual with no known infectors and no secondary infections excluded; did not incorporate higher probability of infection associated with thicker lines
